localidade,cultura,ano,indicador,custo
PASSO FUNDO,TRIGO,2001,OUTRAS DESPESAS,52.89
PASSO FUNDO,TRIGO,2001,DESPESAS FINANCEIRAS,16.58
PASSO FUNDO,TRIGO,2001,DEPRECIACOES,55.67
PASSO FUNDO,TRIGO,2001,OUTROS CUSTOS FIXOS,28.75
PASSO FUNDO,TRIGO,2001,RENDA DE FATORES,106.18
PASSO FUNDO,TRIGO,2001,PRODUTIVIDADE MEDIA,2400.0
CRUZ ALTA,TRIGO,2001,CUSTEIO  DA LAVOURA,394.75
CRUZ ALTA,TRIGO,2001,OUTRAS DESPESAS,52.89
CRUZ ALTA,TRIGO,2001,DESPESAS FINANCEIRAS,16.58
CRUZ ALTA,TRIGO,2001,DEPRECIACOES,55.67
CRUZ ALTA,TRIGO,2001,OUTROS CUSTOS FIXOS,28.75
CRUZ ALTA,TRIGO,2001,RENDA DE FATORES,106.18
CRUZ ALTA,TRIGO,2001,PRODUTIVIDADE MEDIA,2400.0
PASSO FUNDO,TRIGO,2002,CUSTEIO  DA LAVOURA,466.23
PASSO FUNDO,TRIGO,2002,OUTRAS DESPESAS,80.51
PASSO FUNDO,TRIGO,2002,DESPESAS FINANCEIRAS,27.04
PASSO FUNDO,TRIGO,2002,DEPRECIACOES,63.31
PASSO FUNDO,TRIGO,2002,OUTROS CUSTOS FIXOS,35.65
PASSO FUNDO,TRIGO,2002,RENDA DE FATORES,130.93
PASSO FUNDO,TRIGO,2002,PRODUTIVIDADE MEDIA,2400.0
CRUZ ALTA,TRIGO,2002,CUSTEIO  DA LAVOURA,466.23
CRUZ ALTA,TRIGO,2002,OUTRAS DESPESAS,80.51
CRUZ ALTA,TRIGO,2002,DESPESAS FINANCEIRAS,27.04
CRUZ ALTA,TRIGO,2002,DEPRECIACOES,63.31
CRUZ ALTA,TRIGO,2002,OUTROS CUSTOS FIXOS,35.65
CRUZ ALTA,TRIGO,2002,RENDA DE FATORES,130.93
CRUZ ALTA,TRIGO,2002,PRODUTIVIDADE MEDIA,2400.0
PASSO FUNDO,TRIGO,2003,CUSTEIO  DA LAVOURA,656.67
PASSO FUNDO,TRIGO,2003,OUTRAS DESPESAS,109.13
PASSO FUNDO,TRIGO,2003,DESPESAS FINANCEIRAS,38.77
PASSO FUNDO,TRIGO,2003,DEPRECIACOES,94.32
PASSO FUNDO,TRIGO,2003,OUTROS CUSTOS FIXOS,54.44
PASSO FUNDO,TRIGO,2003,RENDA DE FATORES,209.43
PASSO FUNDO,TRIGO,2003,PRODUTIVIDADE MEDIA,2200.0
CRUZ ALTA,TRIGO,2003,CUSTEIO  DA LAVOURA,656.67
CRUZ ALTA,TRIGO,2003,OUTRAS DESPESAS,109.13
CRUZ ALTA,TRIGO,2003,DESPESAS FINANCEIRAS,38.77
CRUZ ALTA,TRIGO,2003,DEPRECIACOES,94.32
