localidade,data,precipitacao,pressao_atmosferica,radiacao_solar_global,temperatura_bulbo_seco,temperatura_orvalho,umidade_relativa,velocidade_vento
BRASILIA,2019-05-18T00:00:00Z,0.0,888.12,1343.52,19.29,15.01,78.42,1.62
BRASILIA,2019-05-19T00:00:00Z,0.0,888.44,1707.87,19.68,14.53,74.88,1.7
BRASILIA,2019-05-20T00:00:00Z,0.0,888.18,1609.3,20.07,13.74,68.58,1.92
BRASILIA,2019-05-21T00:00:00Z,0.0,888.35,1539.34,20.68,14.98,71.46,1.87
BRASILIA,2019-05-22T00:00:00Z,0.0,888.35,1463.28,20.83,14.81,70.5,1.6
BRASILIA,2019-05-23T00:00:00Z,0.0,887.72,1557.68,21.21,15.05,70.46,1.56
BRASILIA,2019-05-16T00:00:00Z,1.4,888.0,624.55,18.95,16.1,83.79,2.22
BRASILIA,2019-05-17T00:00:00Z,0.0,888.0,941.5,19.21,16.16,83.17,1.76
BRASILIA,2019-05-24T00:00:00Z,0.0,887.6,1307.97,21.01,13.35,64.29,1.47
BRASILIA,2019-05-25T00:00:00Z,0.0,887.52,1592.59,20.03,14.41,71.88,1.28
BRASILIA,2019-05-26T00:00:00Z,0.0,888.12,1540.3,20.75,15.09,72.29,1.44
BRASILIA,2019-05-27T00:00:00Z,0.0,888.55,1453.99,21.74,15.41,68.96,2.26
BRASILIA,2019-05-28T00:00:00Z,0.0,888.31,1605.12,21.2,14.22,66.67,1.72
BRASILIA,2019-05-29T00:00:00Z,0.0,889.07,1494.62,21.06,14.11,66.08,2.01
BRASILIA,2019-05-30T00:00:00Z,0.0,888.22,1645.85,20.52,13.38,66.92,1.82
BRASILIA,2019-05-31T00:00:00Z,0.0,887.55,1460.48,21.28,13.25,62.42,1.7
BRASILIA,2019-06-01T00:00:00Z,0.0,887.45,1203.42,21.37,13.87,64.75,0.92
BRASILIA,2019-06-02T00:00:00Z,0.0,887.93,1477.55,22.35,13.3,58.5,1.82
BRASILIA,2019-06-03T00:00:00Z,8.0,889.57,1025.23,21.01,14.69,68.96,1.64
BRASILIA,2019-06-04T00:00:00Z,0.0,890.82,1472.04,20.08,15.35,75.21,2.12
BRASILIA,2019-06-05T00:00:00Z,0.0,890.88,1608.8,18.49,12.5,69.67,2.84
BRASILIA,2019-06-06T00:00:00Z,0.0,890.44,1602.11,18.4,13.16,72.83,2.82
BRASILIA,2019-06-07T00:00:00Z,0.0,890.52,1490.38,17.84,11.6,68.04,2.68
