localidade,cultura,data,ndvi
BORBOREMA,AMENDOIM,2002-09-30 00:00:00+00:00,0.5436
BORBOREMA,AMENDOIM,2002-10-08 00:00:00+00:00,0.5194
BORBOREMA,AMENDOIM,2002-10-16 00:00:00+00:00,0.5385
BORBOREMA,AMENDOIM,2002-10-24 00:00:00+00:00,0.5682
BORBOREMA,AMENDOIM,2002-11-01 00:00:00+00:00,0.6083
BORBOREMA,AMENDOIM,2002-11-09 00:00:00+00:00,0.6363
BORBOREMA,AMENDOIM,2002-11-17 00:00:00+00:00,0.6818
BORBOREMA,AMENDOIM,2002-11-25 00:00:00+00:00,0.6929
BORBOREMA,AMENDOIM,2002-09-22 00:00:00+00:00,0.5449
BORBOREMA,AMENDOIM,2002-12-03 00:00:00+00:00,0.7201
BORBOREMA,AMENDOIM,2002-12-11 00:00:00+00:00,0.7005
BORBOREMA,AMENDOIM,2002-12-19 00:00:00+00:00,0.7162
BORBOREMA,AMENDOIM,2002-12-27 00:00:00+00:00,0.7178
BORBOREMA,AMENDOIM,2003-01-01 00:00:00+00:00,0.7234
BORBOREMA,AMENDOIM,2003-01-09 00:00:00+00:00,0.7535
BORBOREMA,AMENDOIM,2003-01-17 00:00:00+00:00,0.7598
BORBOREMA,AMENDOIM,2003-01-25 00:00:00+00:00,0.751
BORBOREMA,AMENDOIM,2003-02-02 00:00:00+00:00,0.751
BORBOREMA,AMENDOIM,2003-02-10 00:00:00+00:00,0.7473
BORBOREMA,AMENDOIM,2003-02-18 00:00:00+00:00,0.7431
BORBOREMA,AMENDOIM,2003-02-26 00:00:00+00:00,0.7493
BORBOREMA,AMENDOIM,2003-03-06 00:00:00+00:00,0.753
BORBOREMA,AMENDOIM,2003-03-14 00:00:00+00:00,0.7759
BORBOREMA,AMENDOIM,2003-03-22 00:00:00+00:00,0.7136
BORBOREMA,AMENDOIM,2003-03-30 00:00:00+00:00,0.6826
BORBOREMA,AMENDOIM,2003-04-07 00:00:00+00:00,0.67
BORBOREMA,AMENDOIM,2003-04-15 00:00:00+00:00,0.6602
BORBOREMA,AMENDOIM,2003-04-23 00:00:00+00:00,0.6335
BORBOREMA,AMENDOIM,2003-05-01 00:00:00+00:00,0.6285
BORBOREMA,AMENDOIM,2003-05-09 00:00:00+00:00,0.6368
BORBOREMA,AMENDOIM,2003-05-17 00:00:00+00:00,0.659
BORBOREMA,AMENDOIM,2003-05-25 00:00:00+00:00,0.6334
BORBOREMA,AMENDOIM,2003-06-02 00:00:00+00:00,0.6211
BORBOREMA,AMENDOIM,2003-06-10 00:00:00+00:00,0.6259
BORBOREMA,AMENDOIM,2003-06-18 00:00:00+00:00,0.5861
BORBOREMA,AMENDOIM,2003-06-26 00:00:00+00:00,0.5134
BORBOREMA,AMENDOIM,2003-07-04 00:00:00+00:00,0.4397
BORBOREMA,AMENDOIM,2003-07-12 00:00:00+00:00,0.3827
BORBOREMA,AMENDOIM,2003-07-20 00:00:00+00:00,0.3304
BORBOREMA,AMENDOIM,2003-07-28 00:00:00+00:00,0.2869
BORBOREMA,AMENDOIM,2003-08-05 00:00:00+00:00,0.2614
BORBOREMA,AMENDOIM,2003-08-13 00:00:00+00:00,0.2806
BORBOREMA,AMENDOIM,2003-08-21 00:00:00+00:00,0.2608
BORBOREMA,AMENDOIM,2003-08-29 00:00:00+00:00,0.2559
BORBOREMA,AMENDOIM,2003-09-06 00:00:00+00:00,0.241
BORBOREMA,AMENDOIM,2003-09-14 00:00:00+00:00,0.2651
BORBOREMA,AMENDOIM,2003-09-22 00:00:00+00:00,0.2529
BORBOREMA,AMENDOIM,2003-09-30 00:00:00+00:00,0.2742
BORBOREMA,AMENDOIM,2003-10-08 00:00:00+00:00,0.3386
BORBOREMA,AMENDOIM,2003-10-16 00:00:00+00:00,0.4036
BORBOREMA,AMENDOIM,2003-10-24 00:00:00+00:00,0.4856
BORBOREMA,AMENDOIM,2003-11-01 00:00:00+00:00,0.5882
BORBOREMA,AMENDOIM,2003-11-09 00:00:00+00:00,0.6454
BORBOREMA,AMENDOIM,2003-11-17 00:00:00+00:00,0.6947
BORBOREMA,AMENDOIM,2003-11-25 00:00:00+00:00,0.6705
BORBOREMA,AMENDOIM,2003-12-03 00:00:00+00:00,0.6798
BORBOREMA,AMENDOIM,2003-12-11 00:00:00+00:00,0.6897
BORBOREMA,AMENDOIM,2003-12-19 00:00:00+00:00,0.6878
BORBOREMA,AMENDOIM,2003-12-27 00:00:00+00:00,0.7093
BORBOREMA,AMENDOIM,2004-01-01 00:00:00+00:00,0.7301
BORBOREMA,AMENDOIM,2004-01-09 00:00:00+00:00,0.7348
